player_id,NumOfInningsBatted,NotOutInnings,runs_scored,balls_faced,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,balls_bowled,runs_conceded,WCKTS,BW_AVG,BW_SR,BW_ECN,MDO
1107,2,2,1,2,1,0.5,0,0,1,5,237,150,14,10.714,16.929,3.797,2
,,,,,,,,,,,,,,,,,
204,6,1,188,277,37.6,0.679,0.333,14,73,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1103,4,1,58,59,19.333,0.983,0,6.5,23,5,252,171,4,42.75,63,4.071,1
,,,,,,,,,,,,,,,,,
412,1,0,9,20,9,0.45,0,0,9,2,96,86,4,21.5,24,5.375,2
,,,,,,,,,,,,,,,,,
908,4,1,59,51,19.667,1.157,0,9.5,25,6,299,221,12,18.417,24.917,4.435,6
,,,,,,,,,,,,,,,,,
909,5,0,184,265,36.8,0.694,0.2,16.8,83,5,85,81,1,81,85,5.718,0
,,,,,,,,,,,,,,,,,
902,4,1,52,42,17.333,1.238,0,8.5,31,4,84,79,0,79,84,5.643,0
,,,,,,,,,,,,,,,,,
608,5,1,58,90,14.5,0.644,0,6.4,33,6,270,259,10,25.9,27,5.756,0
,,,,,,,,,,,,,,,,,
1109,7,0,225,309,32.143,0.728,0.286,11.143,69,6,180,123,5,24.6,36,4.1,3
,,,,,,,,,,,,,,,,,
309,6,1,215,373,43,0.576,0.333,15.667,70,5,144,147,2,73.5,72,6.125,1
,,,,,,,,,,,,,,,,,
109,1,0,7,19,7,0.368,0,0,7,7,371,278,5,55.6,74.2,4.496,0
,,,,,,,,,,,,,,,,,
701,5,1,27,80,6.75,0.338,0,2.4,22,5,150,170,3,56.667,50,6.8,0
,,,,,,,,,,,,,,,,,
414,7,0,422,522,60.286,0.808,0.714,16,92,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
402,2,2,4,11,4,0.364,0,0,2,5,258,282,4,70.5,64.5,6.558,1
,,,,,,,,,,,,,,,,,
305,5,1,33,43,8.25,0.767,0,4.8,15,5,210,197,5,39.4,42,5.629,1
,,,,,,,,,,,,,,,,,
904,2,0,26,76,13,0.342,0,2,22,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
703,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1105,7,1,224,229,37.333,0.978,0.143,12,99,5,102,85,2,42.5,51,5,0
,,,,,,,,,,,,,,,,,
205,6,0,114,159,19,0.717,0,8.333,37,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1306,1,0,17,17,17,1,0,10,17,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1311,4,1,19,53,6.333,0.358,0,2,16,6,276,195,13,15,21.231,4.239,2
,,,,,,,,,,,,,,,,,
1309,6,0,180,120,30,1.5,0.333,20.333,94,5,191,157,2,78.5,95.5,4.932,0
