"match_id","match_vec","cluster_label","win_label"
"13","[330, 300, 21, 8, 115, 189, 2, 10, 70.789381196832394, 37.548674311309227, 35.951788972416082, 29.015103899762689, 9.4411881210793354, 10.078933740292237, 26.886934032615486, 2.0941112365406807, -38.596292039301524, -27.918781373292912, -21.484455036711118, 10.024212854202931, 29.825734878884703, 1.5222391901277406, 49.893212082023709, -4.8554180763507562, 11.548797048752595, 15.510611348254544, -33.479418548158101, -59.885142746683471, -83.911812934791371, -174.08625240559883]","2","0"
"15","[327, 300, 23, 8, 329, 295, 33, 7, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, -81.535663794594512, 20.35996897208209, -19.903575307222155, -72.035078290125199, 0.33012916260288316, -52.833108030422792, -76.437822073445602, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, 48.108663973698498, 70.547867927614803, -69.097668105101548, -6.1467719454244909, -10.282041664928714, -16.907542830542177, -111.02905810057545]","2","1"
"16","[351, 300, 24, 5, 120, 209, 8, 10, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 4.0024567466741425, 32.148276094205762, 28.218554522083203, 15.202641557145443, -42.662703348669702, -9.9290494423721416, -22.653545935928566, 10.024212854202931, 29.825734878884703, 1.5222391901277406, -4.8554180763507562, 49.893212082023709, 11.548797048752595, 15.510611348254544, -33.479418548158101, -59.885142746683471, -83.911812934791371, -174.08625240559883]","2","1"
"17","[184, 258, 24, 10, 138, 257, 23, 10, 15.847561875563899, -0.17133994328019098, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, 24.284747376969584, -26.822406559137612, -47.742226151099487, 4.4311383426469044, -14.643432352254056, 13.02227656976792, 60.254590526953152, -21.570938292165337, -2.5433381633410237, -7.5663141778350491, -11.325179412243193, -66.854388170055273, -34.983019909679719, -41.838073928769084]","2","0"
"18","[162, 278, 7, 10, 166, 201, 4, 0, 100.28468850750757, -0.084704139423613878, 66.887558852896959, 64.982710958840968, -24.525905350403331, 11.656439930031071, -30.93229177601048, -15.929623912765937, -10.572458325936852, -18.10734755716053, -89.477627137813727, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, -36.101700058177649, 8.3035474915857446, 3.0692037919133317, -21.182225065762726, 47.684348627651374, -17.898203347575166, -50.487917924612134]","2","0"
"21","[171, 274, 20, 10, 165, 286, 6, 10, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, 2.6423702392547894, 20.35996897208209, -72.035078290125199, -19.903575307222155, 0.33012916260288316, -52.833108030422792, -76.437822073445602, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 4.0024567466741425, 32.148276094205762, 28.218554522083203, 15.202641557145443, -9.9290494423721416, -42.662703348669702, -22.653545935928566]","2","0"
"23","[198, 300, 14, 10, 199, 273, 13, 5, -5.5484935596148945, -0.24024174533595, -0.71254607014277294, 24.050535972144559, -113.53550810707961, 46.170485238556779, -51.469468533589364, -10.635127762895479, -11.392456010736318, -59.269980726310543, -84.553117094516708, 4.4311383426469044, -2.5433381633410237, 13.02227656976792, 60.254590526953152, -21.570938292165337, -7.5663141778350491, -27.30097468459546, -11.325179412243193, -46.621055116657402, -41.838073928769084, -34.983019909679719]","2","1"
"24","[302, 300, 24, 7, 192, 250, 10, 10, 60.435776735419012, 77.766927528847233, 0.5237286547637372, 100.28468850750757, -36.101700058177649, 8.3035474915857446, 3.0692037919133317, 14.232235605309128, 47.684348627651374, -21.182225065762726, -17.898203347575166, 15.847561875563899, -0.17133994328019098, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, -80.921841713146122, 24.284747376969584, -70.472142847683372]","2","0"
"26","[327, 300, 15, 6, 188, 234, 16, 10, 97.574504381381217, 90.155959322646055, 16.708081194167459, 83.998353243551165, 95.342240244692746, 12.693655915989449, 22.032903317924639, 21.48577247804527, -6.7302102360547984, 11.679103271354505, 19.136818786401836, 100.28468850750757, 11.656439930031071, 66.887558852896959, -15.929623912765937, 64.982710958840968, -24.525905350403331, -30.93229177601048, -10.572458325936852, -18.10734755716053, -89.477627137813727, -37.260714103799955]","2","1"
"27","[275, 300, 12, 10, 231, 294, 8, 10, 70.789381196832394, 26.886934032615486, 35.951788972416082, 29.015103899762689, 9.4411881210793354, 10.078933740292237, 2.0941112365406807, 18.393570465868358, -38.596292039301524, -27.918781373292912, -21.484455036711118, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, 48.108663973698498, 70.547867927614803, -69.097668105101548, -6.1467719454244909, -17.526820417550461, -16.907542830542177, -111.02905810057545]","2","0"
"28","[225, 298, 10, 10, 227, 294, 33, 8, 112.81845060171879, 20.35996897208209, 72.977300280234047, 58.559095920543783, 52.256011819395127, 2.6423702392547894, 0.33012916260288316, -81.535663794594512, -19.903575307222155, -3.5717079565165988, -76.437822073445602, 53.254711708587124, 50.641407737313173, 25.425942343464801, 22.338422522671323, 7.2606831854194773, 16.800123428755718, -33.996150948812577, -36.550002311687479, -39.367888117948205, -27.940152731764414, -42.257567220623777]","2","0"
"30","[358, 300, 18, 6, 261, 300, 17, 9, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, 3.0692037919133317, 19.510920334088969, 8.3035474915857446, -36.101700058177649, 14.232235605309128, 47.684348627651374, -17.898203347575166, 4.4311383426469044, 45.019622715112028, 13.02227656976792, 60.254590526953152, -21.570938292165337, -2.5433381633410237, -27.30097468459546, -34.983019909679719, -11.325179412243193, -66.854388170055273, -41.838073928769084]","2","1"
"31","[324, 300, 24, 6, 264, 300, 23, 6, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 43.831652552882659, 70.789381196832394, 6.7307115866278115, -21.569660517286405, -70.450741112669192, -53.519228294656337, -5.5484935596148945, 14.054424529038993, -0.71254607014277294, 24.050535972144559, 46.170485238556779, -10.635127762895479, 13.288787329382314, -51.469468533589364, -11.392456010736318, -59.269980726310543, -84.553117094516708]","2","0"
