player_id,NumOfInningsBatted,NotOutInnings,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,BW_AVG,BW_SR,BW_ECN,MDO,HW
107,3,0,23.0,93.24,0.333,5.333,54,0,0.0,0.0,0.0,0,0
108,4,3,25.0,131.58,0.0,4.5,12,7,23.1,34.5,4.017,7,2
419,3,0,6.333,57.58,0.0,1.333,13,3,79.5,78.0,6.115,1,0
102,6,3,77.667,91.02,0.333,14.333,93,2,40.0,48.0,5.0,0,0
903,8,2,43.667,68.59,0.25,16.5,86,0,0.0,0.0,0.0,0,0
409,6,1,15.6,84.78,0.0,6.0,22,0,0.0,0.0,0.0,0,0
1202,7,1,50.667,100.0,0.429,19.143,103,0,0.0,0.0,0.0,0,0
510,4,2,0.5,33.33,0.0,0.0,1,8,32.091,35.909,5.362,1,1
1110,2,0,2.0,20.0,0.0,0.0,3,6,23.0,26.889,5.132,0,0
1211,2,1,7.0,175.0,0.0,3.0,7,8,19.4,28.4,4.099,1,1
1115,5,1,16.25,73.86,0.0,7.6,42,0,0.0,0.0,0.0,0,0
501,8,3,48.2,81.69,0.125,11.75,91,0,0.0,0.0,0.0,0,0
1002,6,1,49.6,73.81,0.5,11.667,83,0,0.0,0.0,0.0,0,0
207,2,0,6.0,44.44,0.0,4.0,11,2,26.5,33.0,4.818,0,0
1009,8,1,30.714,81.13,0.125,16.75,61,8,24.125,41.25,3.509,4,0
206,3,1,16.0,49.23,0.0,2.667,21,3,41.667,44.0,5.682,0,0
804,6,1,13.6,75.56,0.0,5.667,24,6,50.4,57.6,5.25,4,0
208,6,1,16.2,52.94,0.0,5.0,36,0,0.0,0.0,0.0,0,0
610,6,1,41.0,75.65,0.167,13.333,57,0,0.0,0.0,0.0,0,0
1208,4,1,21.333,120.75,0.0,7.0,32,6,42.8,58.0,4.428,4,0
906,6,0,16.667,76.92,0.167,7.0,52,8,30.125,37.5,4.82,1,0
708,5,2,18.667,71.79,0.0,5.6,44,6,42.667,43.0,5.953,2,0
1308,2,2,16.0,123.08,0.0,4.0,11,2,63.0,78.0,4.846,0,0
311,3,0,3.333,24.39,0.0,0.0,7,0,0.0,0.0,0.0,0,0
209,5,0,8.0,53.33,0.0,3.2,29,5,43.75,55.5,4.73,2,0
406,4,1,20.333,117.31,0.0,4.5,30,4,116.0,138.0,5.043,0,0
710,2,0,3.0,200.0,0.0,3.0,6,2,81.0,78.0,6.231,0,0
811,5,2,1.0,17.65,0.0,0.0,2,6,38.25,44.75,5.128,4,0
504,1,0,2.0,50.0,0.0,0.0,2,3,43.5,42.0,6.214,0,0
612,6,0,26.167,122.66,0.167,18.333,101,6,52.0,69.0,4.522,0,0
1415,6,1,24.6,65.43,0.0,7.0,36,6,35.167,49.0,4.306,3,0
801,6,1,34.6,90.1,0.167,14.0,84,3,49.5,54.0,5.5,0,0
503,1,1,10.0,142.86,0.0,4.0,10,2,23.25,30.0,4.65,0,0
308,5,0,10.6,42.74,0.0,4.0,24,0,0.0,0.0,0.0,0,0
1205,1,1,4.0,40.0,0.0,0.0,4,3,41.333,58.0,4.276,2,0
1112,5,3,21.5,116.22,0.0,6.0,22,7,15.867,22.4,4.25,5,1
813,6,1,61.4,89.24,0.5,22.333,119,6,46.0,44.571,6.192,2,0
713,4,1,15.333,63.01,0.0,5.0,24,0,0.0,0.0,0.0,0,0
1313,6,0,25.833,56.36,0.0,11.667,49,0,0.0,0.0,0.0,0,0
1310,2,0,0.5,11.11,0.0,0.0,1,2,15.8,18.0,5.267,1,1
404,5,1,35.25,66.51,0.2,8.0,60,3,31.5,50.0,3.78,3,0
101,6,0,34.333,72.54,0.167,11.0,104,0,0.0,0.0,0.0,0,0
912,6,1,64.8,87.1,0.333,27.333,131,0,0.0,0.0,0.0,0,0
